Date,GLD,ITA,JETS,XLE,XLK,XLY
2023-09-06,177.8300018310547,110.98970031738281,18.498485565185547,41.74830627441406,85.86578369140625,82.27084350585938
2023-09-07,178.02000427246094,110.94073486328125,18.220760345458984,41.70713806152344,84.62410736083984,82.50062561035156
2023-09-08,178.0800018310547,109.77572631835938,18.171165466308594,42.10971450805664,84.80078125,82.50062561035156
2023-09-11,178.41000366210938,108.18973541259766,18.270353317260742,41.556175231933594,85.24249267578125,84.72019958496094
2023-09-12,177.49000549316406,107.6219253540039,18.260435104370117,42.53514862060547,83.69654083251953,83.95264434814453
2023-09-13,177.0800018310547,107.19114685058594,17.764497756958008,42.21492004394531,83.90760040283203,84.61752319335938
2023-09-14,177.1699981689453,107.79813385009766,17.8537654876709,42.708984375,84.51614379882812,85.44864654541016
2023-09-15,178.33999633789062,107.51422882080078,17.8537654876709,42.09141159057617,82.89168548583984,83.98685455322266
2023-09-18,179.38999938964844,107.72959899902344,17.526447296142578,42.44809341430664,83.2900619506836,83.07344818115234
2023-09-19,179.22000122070312,107.11283111572266,17.536365509033203,42.0517692565918,83.24581146240234,82.65716552734375
2023-09-20,179.35000610351562,106.70164489746094,17.387584686279297,41.660064697265625,81.93756866455078,81.83436584472656
2023-09-21,178.0500030517578,104.87092590332031,17.218965530395508,41.08861541748047,80.68831634521484,79.60104370117188
2023-09-22,178.6199951171875,103.90169525146484,17.03050994873047,41.157745361328125,80.86046600341797,78.8174057006836
2023-09-25,177.6999969482422,104.33246612548828,16.961078643798828,41.67388916015625,81.12113189697266,79.30229949951172
2023-09-26,176.27999877929688,103.40534973144531,16.713109970092773,41.43425369262695,79.6604232788086,77.85749053955078
2023-09-27,174.10000610351562,104.3766098022461,16.76270294189453,42.46653747558594,79.78337860107422,77.55873107910156
2023-09-28,173.22999572753906,103.85662841796875,16.970996856689453,42.51261901855469,80.34896850585938,78.42560577392578
2023-09-29,171.4499969482422,103.9645767211914,16.891647338867188,41.65545654296875,80.62438201904297,78.84191131591797
2023-10-02,169.64999389648438,102.79708099365234,16.653596878051758,40.82593536376953,81.49000549316406,78.90558624267578
2023-10-03,169.16000366210938,102.04165649414062,16.256845474243164,40.79828643798828,80.10797119140625,76.98571014404297
2023-10-04,169.13999938964844,101.60016632080078,16.584163665771484,39.51715087890625,81.10638427734375,78.50396728515625
2023-10-05,168.8300018310547,101.2077407836914,16.55440902709961,39.27290725708008,81.21456146240234,78.11217498779297
2023-10-06,169.6999969482422,102.1201400756836,16.633758544921875,39.50792694091797,82.73430633544922,78.66069793701172
2023-10-09,172.82000732421875,106.66252136230469,16.207252502441406,40.82593536376953,83.16217803955078,78.74397277832031
2023-10-10,172.52999877929688,107.4277572631836,16.48497772216797,40.87663650512695,83.2900619506836,79.60594177246094
2023-10-11,173.7899932861328,108.07527160644531,16.475059509277344,40.35127258300781,84.06222534179688,79.88999938964844
2023-10-12,173.25999450683594,106.75081634521484,16.09814453125,40.39735794067383,84.14091491699219,79.01822662353516
2023-10-13,178.8300018310547,106.60365295410156,15.77082633972168,41.286781311035156,82.93595886230469,77.85749053955078
2023-10-16,177.9600067138672,107.26097869873047,16.018795013427734,41.56328201293945,83.73271179199219,79.11617279052734
2023-10-17,178.2899932861328,107.58473205566406,16.068389892578125,41.99647521972656,83.34416198730469,79.30229949951172
2023-10-18,180.8699951171875,107.24134063720703,15.364157676696777,42.37897491455078,82.48838806152344,77.44119262695312
2023-10-19,183.08999633789062,106.20140838623047,15.245132446289062,42.30523681640625,82.01624298095703,75.46256256103516
2023-10-20,183.58999633789062,104.85733795166016,15.007081985473633,41.595542907714844,80.6292953491211,74.29202270507812
2023-10-23,182.97000122070312,104.78866577148438,15.066594123840332,40.92272186279297,80.7227554321289,74.38016510009766
2023-10-24,182.9499969482422,105.88746643066406,15.017001152038574,40.34667205810547,81.27851104736328,75.17359161376953
2023-10-25,183.72000122070312,105.69126892089844,14.749194145202637,40.27293014526367,80.31945037841797,73.65532684326172
2023-10-26,184.00999450683594,106.00519561767578,14.878138542175293,39.95956039428711,78.78498840332031,72.50438690185547
2023-10-27,186.14999389648438,105.2203369140625,14.620250701904297,39.001007080078125,79.24235534667969,73.2635269165039
2023-10-30,185.10000610351562,105.68144989013672,14.907894134521484,39.130043029785156,80.09321594238281,73.93449401855469
2023-10-31,184.08999633789062,107.78095245361328,14.798788070678711,39.25907897949219,80.6637191772461,74.49282836914062
2023-11-01,183.50999450683594,108.47750091552734,14.719438552856445,39.16690444946289,82.2228012084961,75.41357421875
2023-11-02,184.1199951171875,110.69474792480469,15.20545768737793,40.35127258300781,83.61465454101562,77.38241577148438
2023-11-03,184.7899932861328,111.27356719970703,15.810501098632812,39.945735931396484,84.47534942626953,78.4697036743164
2023-11-06,183.35000610351562,110.97925567626953,15.542695045471191,39.49410629272461,85.03112030029297,78.56764221191406
2023-11-07,182.58999633789062,110.78302764892578,15.5724515914917,38.61851119995117,85.96066284179688,79.4443359375
